"Medicare Risk Adjustment Model CPT/HCPCS Filtering Included List, Calendar Year (CY) 2015",,
CPT only copyright 2015 American Medical Association.  All rights reserved.,,
HCPCS/CPT Code,2015 Short Description,In CY2015 Included List?
25107,Remove wrist joint cartilage,yes
25109,Excise tendon forearm/wrist,yes
25110,Remove wrist tendon lesion,yes
25111,Remove wrist tendon lesion,yes
25112,Reremove wrist tendon lesion,yes
25115,Remove wrist/forearm lesion,yes
25116,Remove wrist/forearm lesion,yes
25118,Excise wrist tendon sheath,yes
25119,Partial removal of ulna,yes
25120,Removal of forearm lesion,yes
25125,Remove/graft forearm lesion,yes
25126,Remove/graft forearm lesion,yes
25130,Removal of wrist lesion,yes
25135,Remove & graft wrist lesion,yes
25136,Remove & graft wrist lesion,yes
25145,Remove forearm bone lesion,yes
25150,Partial removal of ulna,yes
25151,Partial removal of radius,yes
25170,Resect radius/ulnar tumor,yes
25210,Removal of wrist bone,yes
25215,Removal of wrist bones,yes
25230,Partial removal of radius,yes
25240,Partial removal of ulna,yes
25248,Remove forearm foreign body,yes
25250,Removal of wrist prosthesis,yes
25251,Removal of wrist prosthesis,yes
25259,Manipulate wrist w/anesthes,yes
25260,Repair forearm tendon/muscle,yes
25263,Repair forearm tendon/muscle,yes
25265,Repair forearm tendon/muscle,yes
25270,Repair forearm tendon/muscle,yes
25272,Repair forearm tendon/muscle,yes
25274,Repair forearm tendon/muscle,yes
25275,Repair forearm tendon sheath,yes
25280,Revise wrist/forearm tendon,yes
25290,Incise wrist/forearm tendon,yes
25295,Release wrist/forearm tendon,yes
25300,Fusion of tendons at wrist,yes
25301,Fusion of tendons at wrist,yes
25310,Transplant forearm tendon,yes
25312,Transplant forearm tendon,yes
25315,Revise palsy hand tendon(s),yes
25316,Revise palsy hand tendon(s),yes
25320,Repair/revise wrist joint,yes
25332,Revise wrist joint,yes
25335,Realignment of hand,yes
25337,Reconstruct ulna/radioulnar,yes
25350,Revision of radius,yes
25355,Revision of radius,yes
25360,Revision of ulna,yes
25365,Revise radius & ulna,yes
25370,Revise radius or ulna,yes
25375,Revise radius & ulna,yes
25390,Shorten radius or ulna,yes
25391,Lengthen radius or ulna,yes
25392,Shorten radius & ulna,yes
25393,Lengthen radius & ulna,yes
25394,Repair carpal bone shorten,yes
25400,Repair radius or ulna,yes
25405,Repair/graft radius or ulna,yes
25415,Repair radius & ulna,yes
25420,Repair/graft radius & ulna,yes
25425,Repair/graft radius or ulna,yes
25426,Repair/graft radius & ulna,yes
25430,Vasc graft into carpal bone,yes
25431,Repair nonunion carpal bone,yes
25440,Repair/graft wrist bone,yes
25441,Reconstruct wrist joint,yes
25442,Reconstruct wrist joint,yes
25443,Reconstruct wrist joint,yes
25444,Reconstruct wrist joint,yes
25445,Reconstruct wrist joint,yes
25446,Wrist replacement,yes
25447,Repair wrist joints,yes
25449,Remove wrist joint implant,yes
25450,Revision of wrist joint,yes
25455,Revision of wrist joint,yes
25490,Reinforce radius,yes
25491,Reinforce ulna,yes
25492,Reinforce radius and ulna,yes
25500,Treat fracture of radius,yes
25505,Treat fracture of radius,yes
25515,Treat fracture of radius,yes
25520,Treat fracture of radius,yes
25525,Treat fracture of radius,yes
25526,Treat fracture of radius,yes
25530,Treat fracture of ulna,yes
25535,Treat fracture of ulna,yes
25545,Treat fracture of ulna,yes
25560,Treat fracture radius & ulna,yes
25565,Treat fracture radius & ulna,yes
25574,Treat fracture radius & ulna,yes
25575,Treat fracture radius/ulna,yes
25600,Treat fracture radius/ulna,yes
25605,Treat fracture radius/ulna,yes
25606,Treat fx distal radial,yes
25607,Treat fx rad extra-articul,yes
25608,Treat fx rad intra-articul,yes
25609,Treat fx radial 3+ frag,yes
25622,Treat wrist bone fracture,yes
25624,Treat wrist bone fracture,yes
25628,Treat wrist bone fracture,yes
25630,Treat wrist bone fracture,yes
25635,Treat wrist bone fracture,yes
25645,Treat wrist bone fracture,yes
25650,Treat wrist bone fracture,yes
25651,Pin ulnar styloid fracture,yes
25652,Treat fracture ulnar styloid,yes
25660,Treat wrist dislocation,yes
25670,Treat wrist dislocation,yes
25671,Pin radioulnar dislocation,yes
25675,Treat wrist dislocation,yes
25676,Treat wrist dislocation,yes
25680,Treat wrist fracture,yes
25685,Treat wrist fracture,yes
25690,Treat wrist dislocation,yes
25695,Treat wrist dislocation,yes
25800,Fusion of wrist joint,yes
25805,Fusion/graft of wrist joint,yes
25810,Fusion/graft of wrist joint,yes
25820,Fusion of hand bones,yes
25825,Fuse hand bones with graft,yes
25830,Fusion radioulnar jnt/ulna,yes
25900,Amputation of forearm,yes
25905,Amputation of forearm,yes
25907,Amputation follow-up surgery,yes
25909,Amputation follow-up surgery,yes
25915,Amputation of forearm,yes
25920,Amputate hand at wrist,yes
25922,Amputate hand at wrist,yes
25924,Amputation follow-up surgery,yes
25927,Amputation of hand,yes
25929,Amputation follow-up surgery,yes
25931,Amputation follow-up surgery,yes
25999,Forearm or wrist surgery,yes
26010,Drainage of finger abscess,yes
26011,Drainage of finger abscess,yes
26020,Drain hand tendon sheath,yes
26025,Drainage of palm bursa,yes
26030,Drainage of palm bursas,yes
26034,Treat hand bone lesion,yes
26035,Decompress fingers/hand,yes
26037,Decompress fingers/hand,yes
26040,Release palm contracture,yes
26045,Release palm contracture,yes
26055,Incise finger tendon sheath,yes
26060,Incision of finger tendon,yes
26070,Explore/treat hand joint,yes
26075,Explore/treat finger joint,yes
26080,Explore/treat finger joint,yes
26100,Biopsy hand joint lining,yes
26105,Biopsy finger joint lining,yes
26110,Biopsy finger joint lining,yes
26111,Exc hand les sc 1.5 cm/>,yes
26113,Exc hand tum deep 1.5 cm/>,yes
26115,Exc hand les sc < 1.5 cm,yes
26116,Exc hand tum deep < 1.5 cm,yes
26117,Rad resect hand tumor < 3 cm,yes
26118,Rad resect hand tumor 3 cm/>,yes
26121,Release palm contracture,yes
26123,Release palm contracture,yes
26130,Remove wrist joint lining,yes
26135,Revise finger joint each,yes
26140,Revise finger joint each,yes
26145,Tendon excision palm/finger,yes
26160,Remove tendon sheath lesion,yes
26170,Removal of palm tendon each,yes
26180,Removal of finger tendon,yes
26185,Remove finger bone,yes
26200,Remove hand bone lesion,yes
26205,Remove/graft bone lesion,yes
26210,Removal of finger lesion,yes
26215,Remove/graft finger lesion,yes
26230,Partial removal of hand bone,yes
26235,Partial removal finger bone,yes
26236,Partial removal finger bone,yes
26250,Extensive hand surgery,yes
26260,Resect prox finger tumor,yes
26262,Resect distal finger tumor,yes
26320,Removal of implant from hand,yes
26340,Manipulate finger w/anesth,yes
26341,Manipulat palm cord post inj,yes
26350,Repair finger/hand tendon,yes
26352,Repair/graft hand tendon,yes
26356,Repair finger/hand tendon,yes
26357,Repair finger/hand tendon,yes
26358,Repair/graft hand tendon,yes
26370,Repair finger/hand tendon,yes
26372,Repair/graft hand tendon,yes
26373,Repair finger/hand tendon,yes
26390,Revise hand/finger tendon,yes
26392,Repair/graft hand tendon,yes
26410,Repair hand tendon,yes
26412,Repair/graft hand tendon,yes
26415,Excision hand/finger tendon,yes
26416,Graft hand or finger tendon,yes
26418,Repair finger tendon,yes
26420,Repair/graft finger tendon,yes
26426,Repair finger/hand tendon,yes
26428,Repair/graft finger tendon,yes
26432,Repair finger tendon,yes
26433,Repair finger tendon,yes
26434,Repair/graft finger tendon,yes
26437,Realignment of tendons,yes
26440,Release palm/finger tendon,yes
26442,Release palm & finger tendon,yes
26445,Release hand/finger tendon,yes
26449,Release forearm/hand tendon,yes
26450,Incision of palm tendon,yes
26455,Incision of finger tendon,yes
26460,Incise hand/finger tendon,yes
26471,Fusion of finger tendons,yes
26474,Fusion of finger tendons,yes
26476,Tendon lengthening,yes
26477,Tendon shortening,yes
26478,Lengthening of hand tendon,yes
26479,Shortening of hand tendon,yes
26480,Transplant hand tendon,yes
26483,Transplant/graft hand tendon,yes
26485,Transplant palm tendon,yes
26489,Transplant/graft palm tendon,yes
26490,Revise thumb tendon,yes
26492,Tendon transfer with graft,yes
26494,Hand tendon/muscle transfer,yes
26496,Revise thumb tendon,yes
26497,Finger tendon transfer,yes
26498,Finger tendon transfer,yes
26499,Revision of finger,yes
26500,Hand tendon reconstruction,yes
26502,Hand tendon reconstruction,yes
26508,Release thumb contracture,yes
26510,Thumb tendon transfer,yes
26516,Fusion of knuckle joint,yes
26517,Fusion of knuckle joints,yes
26518,Fusion of knuckle joints,yes
26520,Release knuckle contracture,yes
26525,Release finger contracture,yes
26530,Revise knuckle joint,yes
26531,Revise knuckle with implant,yes
26535,Revise finger joint,yes
26536,Revise/implant finger joint,yes
26540,Repair hand joint,yes
26541,Repair hand joint with graft,yes
26542,Repair hand joint with graft,yes
26545,Reconstruct finger joint,yes
26546,Repair nonunion hand,yes
26548,Reconstruct finger joint,yes
26550,Construct thumb replacement,yes
26551,Great toe-hand transfer,yes
26553,Single transfer toe-hand,yes
26554,Double transfer toe-hand,yes
26555,Positional change of finger,yes
26556,Toe joint transfer,yes
26560,Repair of web finger,yes
26561,Repair of web finger,yes
26562,Repair of web finger,yes
26565,Correct metacarpal flaw,yes
26567,Correct finger deformity,yes
26568,Lengthen metacarpal/finger,yes
26580,Repair hand deformity,yes
26587,Reconstruct extra finger,yes
26590,Repair finger deformity,yes
26591,Repair muscles of hand,yes
26593,Release muscles of hand,yes
26596,Excision constricting tissue,yes
26600,Treat metacarpal fracture,yes
26605,Treat metacarpal fracture,yes
26607,Treat metacarpal fracture,yes
26608,Treat metacarpal fracture,yes
26615,Treat metacarpal fracture,yes
26641,Treat thumb dislocation,yes
26645,Treat thumb fracture,yes
26650,Treat thumb fracture,yes
26665,Treat thumb fracture,yes
26670,Treat hand dislocation,yes
26675,Treat hand dislocation,yes
26676,Pin hand dislocation,yes
26685,Treat hand dislocation,yes
26686,Treat hand dislocation,yes
26700,Treat knuckle dislocation,yes
26705,Treat knuckle dislocation,yes
26706,Pin knuckle dislocation,yes
26715,Treat knuckle dislocation,yes
26720,Treat finger fracture each,yes
26725,Treat finger fracture each,yes
26727,Treat finger fracture each,yes
26735,Treat finger fracture each,yes
26740,Treat finger fracture each,yes
26742,Treat finger fracture each,yes
26746,Treat finger fracture each,yes
26750,Treat finger fracture each,yes
26755,Treat finger fracture each,yes
26756,Pin finger fracture each,yes
26765,Treat finger fracture each,yes
26770,Treat finger dislocation,yes
26775,Treat finger dislocation,yes
26776,Pin finger dislocation,yes
26785,Treat finger dislocation,yes
26820,Thumb fusion with graft,yes
26841,Fusion of thumb,yes
26842,Thumb fusion with graft,yes
26843,Fusion of hand joint,yes
26844,Fusion/graft of hand joint,yes
26850,Fusion of knuckle,yes
26852,Fusion of knuckle with graft,yes
26860,Fusion of finger joint,yes
26862,Fusion/graft of finger joint,yes
26910,Amputate metacarpal bone,yes
26951,Amputation of finger/thumb,yes
26952,Amputation of finger/thumb,yes
26989,Hand/finger surgery,yes
26990,Drainage of pelvis lesion,yes
26991,Drainage of pelvis bursa,yes
26992,Drainage of bone lesion,yes
27000,Incision of hip tendon,yes
27001,Incision of hip tendon,yes
27003,Incision of hip tendon,yes
27005,Incision of hip tendon,yes
27006,Incision of hip tendons,yes
27025,Incision of hip/thigh fascia,yes
27027,Buttock fasciotomy,yes
27030,Drainage of hip joint,yes
27033,Exploration of hip joint,yes
27035,Denervation of hip joint,yes
27036,Excision of hip joint/muscle,yes
27043,Exc hip pelvis les sc 3 cm/>,yes
27045,Exc hip/pelv tum deep 5 cm/>,yes
27047,Exc hip/pelvis les sc < 3 cm,yes
27048,Exc hip/pelv tum deep < 5 cm,yes
27049,Resect hip/pelv tum < 5 cm,yes
27050,Biopsy of sacroiliac joint,yes
27052,Biopsy of hip joint,yes
27054,Removal of hip joint lining,yes
27057,Buttock fasciotomy w/dbrdmt,yes
27059,Resect hip/pelv tum 5 cm/>,yes
27060,Removal of ischial bursa,yes
27062,Remove femur lesion/bursa,yes
27065,Remove hip bone les super,yes
27066,Remove hip bone les deep,yes
27067,Remove/graft hip bone lesion,yes
27070,Part remove hip bone super,yes
27071,Part removal hip bone deep,yes
27075,Resect hip tumor,yes
27076,Resect hip tum incl acetabul,yes
27077,Resect hip tum w/innom bone,yes
27078,Rsect hip tum incl femur,yes
27080,Removal of tail bone,yes
27086,Remove hip foreign body,yes
27087,Remove hip foreign body,yes
27090,Removal of hip prosthesis,yes
27091,Removal of hip prosthesis,yes
27096,Inject sacroiliac joint,yes
27097,Revision of hip tendon,yes
27098,Transfer tendon to pelvis,yes
27100,Transfer of abdominal muscle,yes
27105,Transfer of spinal muscle,yes
27110,Transfer of iliopsoas muscle,yes
27111,Transfer of iliopsoas muscle,yes
27120,Reconstruction of hip socket,yes
27122,Reconstruction of hip socket,yes
27125,Partial hip replacement,yes
27130,Total hip arthroplasty,yes
27132,Total hip arthroplasty,yes
27134,Revise hip joint replacement,yes
27137,Revise hip joint replacement,yes
27138,Revise hip joint replacement,yes
27140,Transplant femur ridge,yes
27146,Incision of hip bone,yes
27147,Revision of hip bone,yes
27151,Incision of hip bones,yes
27156,Revision of hip bones,yes
27158,Revision of pelvis,yes
27161,Incision of neck of femur,yes
27165,Incision/fixation of femur,yes
27170,Repair/graft femur head/neck,yes
27175,Treat slipped epiphysis,yes
27176,Treat slipped epiphysis,yes
27177,Treat slipped epiphysis,yes
27178,Treat slipped epiphysis,yes
27179,Revise head/neck of femur,yes
27181,Treat slipped epiphysis,yes
27185,Revision of femur epiphysis,yes
27187,Reinforce hip bones,yes
27193,Treat pelvic ring fracture,yes
27194,Treat pelvic ring fracture,yes
27200,Treat tail bone fracture,yes
27202,Treat tail bone fracture,yes
27215,Treat pelvic fracture(s),yes
27216,Treat pelvic ring fracture,yes
27217,Treat pelvic ring fracture,yes
27218,Treat pelvic ring fracture,yes
27220,Treat hip socket fracture,yes
27222,Treat hip socket fracture,yes
27226,Treat hip wall fracture,yes
27227,Treat hip fracture(s),yes
27228,Treat hip fracture(s),yes
27230,Treat thigh fracture,yes
27232,Treat thigh fracture,yes
27235,Treat thigh fracture,yes
27236,Treat thigh fracture,yes
27238,Treat thigh fracture,yes
27240,Treat thigh fracture,yes
27244,Treat thigh fracture,yes
27245,Treat thigh fracture,yes
27246,Treat thigh fracture,yes
27248,Treat thigh fracture,yes
27250,Treat hip dislocation,yes
27252,Treat hip dislocation,yes
27253,Treat hip dislocation,yes
27254,Treat hip dislocation,yes
27256,Treat hip dislocation,yes
27257,Treat hip dislocation,yes
27258,Treat hip dislocation,yes
27259,Treat hip dislocation,yes
27265,Treat hip dislocation,yes
27266,Treat hip dislocation,yes
27267,Cltx thigh fx,yes
27268,Cltx thigh fx w/mnpj,yes
27269,Optx thigh fx,yes
27275,Manipulation of hip joint,yes
27279,Arthrodesis sacroiliac joint,yes
27280,Fusion of sacroiliac joint,yes
27282,Fusion of pubic bones,yes
27284,Fusion of hip joint,yes
27286,Fusion of hip joint,yes
27290,Amputation of leg at hip,yes
27295,Amputation of leg at hip,yes
27299,Pelvis/hip joint surgery,yes
27301,Drain thigh/knee lesion,yes
27303,Drainage of bone lesion,yes
27305,Incise thigh tendon & fascia,yes
27306,Incision of thigh tendon,yes
27307,Incision of thigh tendons,yes
27310,Exploration of knee joint,yes
27325,Neurectomy hamstring,yes
27326,Neurectomy popliteal,yes
27327,Exc thigh/knee les sc < 3 cm,yes
27328,Exc thigh/knee tum deep <5cm,yes
27329,Resect thigh/knee tum < 5 cm,yes
27330,Biopsy knee joint lining,yes
27331,Explore/treat knee joint,yes
27332,Removal of knee cartilage,yes
27333,Removal of knee cartilage,yes
27334,Remove knee joint lining,yes
27335,Remove knee joint lining,yes
27337,Exc thigh/knee les sc 3 cm/>,yes
27339,Exc thigh/knee tum dep 5cm/>,yes
27340,Removal of kneecap bursa,yes
27345,Removal of knee cyst,yes
27347,Remove knee cyst,yes
27350,Removal of kneecap,yes
27355,Remove femur lesion,yes
27356,Remove femur lesion/graft,yes
27357,Remove femur lesion/graft,yes
27360,Partial removal leg bone(s),yes
27364,Resect thigh/knee tum 5 cm/>,yes
27365,Resect femur/knee tumor,yes
27372,Removal of foreign body,yes
27380,Repair of kneecap tendon,yes
27381,Repair/graft kneecap tendon,yes
27385,Repair of thigh muscle,yes
27386,Repair/graft of thigh muscle,yes
27390,Incision of thigh tendon,yes
27391,Incision of thigh tendons,yes
27392,Incision of thigh tendons,yes
27393,Lengthening of thigh tendon,yes
27394,Lengthening of thigh tendons,yes
27395,Lengthening of thigh tendons,yes
27396,Transplant of thigh tendon,yes
27397,Transplants of thigh tendons,yes
27400,Revise thigh muscles/tendons,yes
27403,Repair of knee cartilage,yes
27405,Repair of knee ligament,yes
27407,Repair of knee ligament,yes
27409,Repair of knee ligaments,yes
27412,Autochondrocyte implant knee,yes
27415,Osteochondral knee allograft,yes
27416,Osteochondral knee autograft,yes
27418,Repair degenerated kneecap,yes
27420,Revision of unstable kneecap,yes
27422,Revision of unstable kneecap,yes
27424,Revision/removal of kneecap,yes
27425,Lat retinacular release open,yes
27427,Reconstruction knee,yes
27428,Reconstruction knee,yes
27429,Reconstruction knee,yes
27430,Revision of thigh muscles,yes
27435,Incision of knee joint,yes
27437,Revise kneecap,yes
27438,Revise kneecap with implant,yes
27440,Revision of knee joint,yes
27441,Revision of knee joint,yes
27442,Revision of knee joint,yes
27443,Revision of knee joint,yes
27445,Revision of knee joint,yes
27446,Revision of knee joint,yes
27447,Total knee arthroplasty,yes
27448,Incision of thigh,yes
27450,Incision of thigh,yes
27454,Realignment of thigh bone,yes
27455,Realignment of knee,yes
27457,Realignment of knee,yes
27465,Shortening of thigh bone,yes
27466,Lengthening of thigh bone,yes
27468,Shorten/lengthen thighs,yes
27470,Repair of thigh,yes
27472,Repair/graft of thigh,yes
27475,Surgery to stop leg growth,yes
27477,Surgery to stop leg growth,yes
27479,Surgery to stop leg growth,yes
27485,Surgery to stop leg growth,yes
27486,Revise/replace knee joint,yes
27487,Revise/replace knee joint,yes
27488,Removal of knee prosthesis,yes
27495,Reinforce thigh,yes
27496,Decompression of thigh/knee,yes
27497,Decompression of thigh/knee,yes
27498,Decompression of thigh/knee,yes
27499,Decompression of thigh/knee,yes
27500,Treatment of thigh fracture,yes
27501,Treatment of thigh fracture,yes
27502,Treatment of thigh fracture,yes
27503,Treatment of thigh fracture,yes
27506,Treatment of thigh fracture,yes
27507,Treatment of thigh fracture,yes
27508,Treatment of thigh fracture,yes
27509,Treatment of thigh fracture,yes
27510,Treatment of thigh fracture,yes
27511,Treatment of thigh fracture,yes
27513,Treatment of thigh fracture,yes
27514,Treatment of thigh fracture,yes
27516,Treat thigh fx growth plate,yes
27517,Treat thigh fx growth plate,yes
27519,Treat thigh fx growth plate,yes
27520,Treat kneecap fracture,yes
27524,Treat kneecap fracture,yes
27530,Treat knee fracture,yes
27532,Treat knee fracture,yes
27535,Treat knee fracture,yes
27536,Treat knee fracture,yes
27538,Treat knee fracture(s),yes
27540,Treat knee fracture,yes
27550,Treat knee dislocation,yes
27552,Treat knee dislocation,yes
27556,Treat knee dislocation,yes
27557,Treat knee dislocation,yes
27558,Treat knee dislocation,yes
27560,Treat kneecap dislocation,yes
27562,Treat kneecap dislocation,yes
27566,Treat kneecap dislocation,yes
27570,Fixation of knee joint,yes
27580,Fusion of knee,yes
27590,Amputate leg at thigh,yes
27591,Amputate leg at thigh,yes
27592,Amputate leg at thigh,yes
27594,Amputation follow-up surgery,yes
27596,Amputation follow-up surgery,yes
27598,Amputate lower leg at knee,yes
27599,Leg surgery procedure,yes
27600,Decompression of lower leg,yes
27601,Decompression of lower leg,yes
27602,Decompression of lower leg,yes
27603,Drain lower leg lesion,yes
27604,Drain lower leg bursa,yes
27605,Incision of achilles tendon,yes
27606,Incision of achilles tendon,yes
27607,Treat lower leg bone lesion,yes
27610,Explore/treat ankle joint,yes
27612,Exploration of ankle joint,yes
27615,Resect leg/ankle tum < 5 cm,yes
27616,Resect leg/ankle tum 5 cm/>,yes
27618,Exc leg/ankle tum < 3 cm,yes
27619,Exc leg/ankle tum deep <5 cm,yes
27620,Explore/treat ankle joint,yes
27625,Remove ankle joint lining,yes
27626,Remove ankle joint lining,yes
27630,Removal of tendon lesion,yes
27632,Exc leg/ankle les sc 3 cm/>,yes
27634,Exc leg/ankle tum dep 5 cm/>,yes
27635,Remove lower leg bone lesion,yes
27637,Remove/graft leg bone lesion,yes
27638,Remove/graft leg bone lesion,yes
27640,Partial removal of tibia,yes
27641,Partial removal of fibula,yes
27645,Resect tibia tumor,yes
27646,Resect fibula tumor,yes
27647,Resect talus/calcaneus tum,yes
27650,Repair achilles tendon,yes
27652,Repair/graft achilles tendon,yes
27654,Repair of achilles tendon,yes
27656,Repair leg fascia defect,yes
27658,Repair of leg tendon each,yes
27659,Repair of leg tendon each,yes
27664,Repair of leg tendon each,yes
27665,Repair of leg tendon each,yes
27675,Repair lower leg tendons,yes
27676,Repair lower leg tendons,yes
27680,Release of lower leg tendon,yes
27681,Release of lower leg tendons,yes
27685,Revision of lower leg tendon,yes
27686,Revise lower leg tendons,yes
27687,Revision of calf tendon,yes
27690,Revise lower leg tendon,yes
27691,Revise lower leg tendon,yes
27695,Repair of ankle ligament,yes
27696,Repair of ankle ligaments,yes
27698,Repair of ankle ligament,yes
27700,Revision of ankle joint,yes
27702,Reconstruct ankle joint,yes
27703,Reconstruction ankle joint,yes
27704,Removal of ankle implant,yes
27705,Incision of tibia,yes
27707,Incision of fibula,yes
27709,Incision of tibia & fibula,yes
27712,Realignment of lower leg,yes
27715,Revision of lower leg,yes
27720,Repair of tibia,yes
27722,Repair/graft of tibia,yes
27724,Repair/graft of tibia,yes
27725,Repair of lower leg,yes
27726,Repair fibula nonunion,yes
27727,Repair of lower leg,yes
27730,Repair of tibia epiphysis,yes
27732,Repair of fibula epiphysis,yes
27734,Repair lower leg epiphyses,yes
27740,Repair of leg epiphyses,yes
27742,Repair of leg epiphyses,yes
27745,Reinforce tibia,yes
27750,Treatment of tibia fracture,yes
27752,Treatment of tibia fracture,yes
27756,Treatment of tibia fracture,yes
27758,Treatment of tibia fracture,yes
27759,Treatment of tibia fracture,yes
27760,Cltx medial ankle fx,yes
27762,Cltx med ankle fx w/mnpj,yes
27766,Optx medial ankle fx,yes
27767,Cltx post ankle fx,yes
27768,Cltx post ankle fx w/mnpj,yes
27769,Optx post ankle fx,yes
27780,Treatment of fibula fracture,yes
27781,Treatment of fibula fracture,yes
27784,Treatment of fibula fracture,yes
27786,Treatment of ankle fracture,yes
27788,Treatment of ankle fracture,yes
27792,Treatment of ankle fracture,yes
27808,Treatment of ankle fracture,yes
27810,Treatment of ankle fracture,yes
27814,Treatment of ankle fracture,yes
27816,Treatment of ankle fracture,yes
27818,Treatment of ankle fracture,yes
27822,Treatment of ankle fracture,yes
27823,Treatment of ankle fracture,yes
27824,Treat lower leg fracture,yes
27825,Treat lower leg fracture,yes
27826,Treat lower leg fracture,yes
27827,Treat lower leg fracture,yes
27828,Treat lower leg fracture,yes
27829,Treat lower leg joint,yes
27830,Treat lower leg dislocation,yes
27831,Treat lower leg dislocation,yes
27832,Treat lower leg dislocation,yes
27840,Treat ankle dislocation,yes
27842,Treat ankle dislocation,yes
27846,Treat ankle dislocation,yes
27848,Treat ankle dislocation,yes
27860,Fixation of ankle joint,yes
27870,Fusion of ankle joint open,yes
27871,Fusion of tibiofibular joint,yes
27880,Amputation of lower leg,yes
27881,Amputation of lower leg,yes
27882,Amputation of lower leg,yes
27884,Amputation follow-up surgery,yes
27886,Amputation follow-up surgery,yes
27888,Amputation of foot at ankle,yes
27889,Amputation of foot at ankle,yes
27892,Decompression of leg,yes
27893,Decompression of leg,yes
27894,Decompression of leg,yes
27899,Leg/ankle surgery procedure,yes
28001,Drainage of bursa of foot,yes
28002,Treatment of foot infection,yes
28003,Treatment of foot infection,yes
28005,Treat foot bone lesion,yes
28008,Incision of foot fascia,yes
28010,Incision of toe tendon,yes
28011,Incision of toe tendons,yes
28020,Exploration of foot joint,yes
28022,Exploration of foot joint,yes
28024,Exploration of toe joint,yes
28035,Decompression of tibia nerve,yes
28039,Exc foot/toe tum sc 1.5 cm/>,yes
28041,Exc foot/toe tum dep 1.5cm/>,yes
28043,Exc foot/toe tum sc < 1.5 cm,yes
28045,Exc foot/toe tum deep <1.5cm,yes
28046,Resect foot/toe tumor < 3 cm,yes
28047,Resect foot/toe tumor 3 cm/>,yes
28050,Biopsy of foot joint lining,yes
28052,Biopsy of foot joint lining,yes
28054,Biopsy of toe joint lining,yes
28055,Neurectomy foot,yes
28060,Partial removal foot fascia,yes
28062,Removal of foot fascia,yes
28070,Removal of foot joint lining,yes
28072,Removal of foot joint lining,yes
28080,Removal of foot lesion,yes
28086,Excise foot tendon sheath,yes
28088,Excise foot tendon sheath,yes
28090,Removal of foot lesion,yes
28092,Removal of toe lesions,yes
28100,Removal of ankle/heel lesion,yes
28102,Remove/graft foot lesion,yes
28103,Remove/graft foot lesion,yes
28104,Removal of foot lesion,yes
28106,Remove/graft foot lesion,yes
28107,Remove/graft foot lesion,yes
28108,Removal of toe lesions,yes
28110,Part removal of metatarsal,yes
28111,Part removal of metatarsal,yes
28112,Part removal of metatarsal,yes
28113,Part removal of metatarsal,yes
28114,Removal of metatarsal heads,yes
28116,Revision of foot,yes
28118,Removal of heel bone,yes
28119,Removal of heel spur,yes
28120,Part removal of ankle/heel,yes
28122,Partial removal of foot bone,yes
28124,Partial removal of toe,yes
28126,Partial removal of toe,yes
28130,Removal of ankle bone,yes
28140,Removal of metatarsal,yes
28150,Removal of toe,yes
28153,Partial removal of toe,yes
28160,Partial removal of toe,yes
28171,Resect tarsal tumor,yes
28173,Resect metatarsal tumor,yes
28175,Resect phalanx of toe tumor,yes
28190,Removal of foot foreign body,yes
28192,Removal of foot foreign body,yes
28193,Removal of foot foreign body,yes
28200,Repair of foot tendon,yes
28202,Repair/graft of foot tendon,yes
28208,Repair of foot tendon,yes
28210,Repair/graft of foot tendon,yes
28220,Release of foot tendon,yes
28222,Release of foot tendons,yes
28225,Release of foot tendon,yes
28226,Release of foot tendons,yes
28230,Incision of foot tendon(s),yes
28232,Incision of toe tendon,yes
28234,Incision of foot tendon,yes
28238,Revision of foot tendon,yes
28240,Release of big toe,yes
28250,Revision of foot fascia,yes
28260,Release of midfoot joint,yes
28261,Revision of foot tendon,yes
28262,Revision of foot and ankle,yes
28264,Release of midfoot joint,yes
28270,Release of foot contracture,yes
28272,Release of toe joint each,yes
28280,Fusion of toes,yes
28285,Repair of hammertoe,yes
28286,Repair of hammertoe,yes
28288,Partial removal of foot bone,yes
28289,Repair hallux rigidus,yes
28290,Correction of bunion,yes
28292,Correction of bunion,yes
28293,Correction of bunion,yes
28294,Correction of bunion,yes
28296,Correction of bunion,yes
28297,Correction of bunion,yes
28298,Correction of bunion,yes
28299,Correction of bunion,yes
28300,Incision of heel bone,yes
28302,Incision of ankle bone,yes
28304,Incision of midfoot bones,yes
28305,Incise/graft midfoot bones,yes
28306,Incision of metatarsal,yes
28307,Incision of metatarsal,yes
28308,Incision of metatarsal,yes
28309,Incision of metatarsals,yes
28310,Revision of big toe,yes
28312,Revision of toe,yes
28313,Repair deformity of toe,yes
28315,Removal of sesamoid bone,yes
28320,Repair of foot bones,yes
28322,Repair of metatarsals,yes
28340,Resect enlarged toe tissue,yes
28341,Resect enlarged toe,yes
28344,Repair extra toe(s),yes
28345,Repair webbed toe(s),yes
28360,Reconstruct cleft foot,yes
28400,Treatment of heel fracture,yes
28405,Treatment of heel fracture,yes
28406,Treatment of heel fracture,yes
28415,Treat heel fracture,yes
28420,Treat/graft heel fracture,yes
28430,Treatment of ankle fracture,yes
28435,Treatment of ankle fracture,yes
28436,Treatment of ankle fracture,yes
28445,Treat ankle fracture,yes
28446,Osteochondral talus autogrft,yes
